,text,e_palak_label,e_ben_label
0,Ben Franklin weeps,SAD,SAD
1,Trash,DISGUST,DISGUST
2,Very interesting! I dare you to read it.,SURPRISE,SURPRISE
3,These are Anitra agitators. Not Trump patriots,ANGRY,ANGRY
4,Another Media FAKE NEWS BULLSHIT story!,DISGUST,DISGUST
5,"Unfortunately, EO goes away if crooked biden gets in",SAD,SAD
6,James O'keefe SAYSBUSTED,DISGUST,FEAR
7,"a href=""/profile/MarshaBlackburn/posts"" class=""at"">@MarshaBlackburn</a> has betrayed this nation. Unfollow her. Every one of these traitors will be remembered. We The People are disgusted! #RINO #DefundTheGOP #marshablackburn #goptraitors",DISGUST,DISGUST
8,"Apparently it's 'selfish' to want to see your friends & family, open your business, and earn an honest living to feed yourself and others.But it's not selfish to want to prevent other people from doing so, because YOU are scared.These lockdowns must end. Enough already.",FEAR,FEAR
9,She is disgusting.,DISGUST,DISGUST
10,"""Stupid is as stupid does.""",DISGUST,DISGUST
11,We’re Going In – A Sign of Hope,HAPPY,HAPPY
12,I'm so sad twitter has banned me officially can't make a new one my every new account is instantly suspended I'mmissong everything Idont know who to follow on here #Wwg1wga#TheWorldIsWatching#RedWave2020 #electioninfection #Elections2020 what's happening when is the final say for election....,SAD,SAD
13,"Wow, Where are Rudy Giuliani, Sidney Powell, Lin Wood and President Trump to complete this photo ? 😊",SURPRISE,SURPRISE
14,Sad but true. 😩😩,SAD,SAD
15,Hooray!,HAPPY,HAPPY
16,It’s good to see a conservative group have a mostly peaceful protest,HAPPY,HAPPY
17,It is not normal! Ridiculous.,DISGUST,DISGUST
18,So pathetic yet Dems like it this way!,SAD,SAD
19,Yaay 🙂,HAPPY,HAPPY
20,This guy suck at everything. Including cheating.,DISGUST,DISGUST
21,"Wow, a new twist.",SURPRISE,SURPRISE
22,"I'm fighting! I will never live my life as a ""sheep""",ANGRY,ANGRY
23,Well it's looking like a lot of people didn't listen Mr President now we're all going to pay the price.Some people are like sheep cain't think for them selves and it's sad.,SAD,SAD
24,“Many believe this country is about to fall into the hands of a foreign adversary.”-@Ali,FEAR,FEAR
25,WAR IS ON,ANGRY,ANGRY
26,I can almost hear the crying 3 states over!,SAD,SAD
27,Love this chyron!,HAPPY,ANGRY
28,#Patriots as far as the eye can see – no coverage in the media… Surprise.#Amazing #withyouinspirit,SURPRISE,SURPRISE
29,"Biden talking about respecting the rule of law, what a joke!",DISGUST,SAD
30,"Jon Ossof was behind Senator Perdue by 118,355 votes with only 9% more of the precincts that haven’t reported their totals. Then another miracle! 262,328 votes are reported in under an hour and with only an additional 7% of the precincts reporting. Whereas Senator Perdue only had another 127,573 votes in that same time frame, putting him at a deficit of 16,370. All of this happened in under an hour, and then they called it a night. Since when do election nights start ending early? WWG1WGA",SURPRISE,SURPRISE
31,"No, I don’t condone violence. But, what I’m seeing today is a bunch of pissed off, angry patriots who are tired of the left beating them to hell. We have been attacked and targeted for 4 years. I hope everyone is safe, and peaceful, but this protest needed to happen. Stay safe, and don’t cause any violence, but make our voices heard!#maga #trump #trump2020 #election #election2020",ANGRY,ANGRY
