text,emotion
THERE IS THE BITCH THAT SHOULD HAVE BEEN SHOT INSTEAD OF A YOUNG GIRL. DISGUSTING BITCH,DISGUST
"Tucker Carlson: “We got to this sad, chaotic day for a reason. It is not your fault. It is their fault.”",SAD
Its war time!,ANGRY
She is no doubt a fighter,ANGRY
SouthernBelle59 I don’t care who they were! Losing your life is a very sad thing. We have been left without hope. That’s where people are. Fussing at them and berating your own people will get us nowhere!,SAD
Let’s do this!!!,HAPPY
Sick! Sick! Sick!,DISGUST
Really sad sue there ass,SAD
SCOOP: Black Georgia Democrat State Rep. Vernon Jones Switches Parties,SURPRISE
Happy to be #american #godblessamerica,HAPPY
This is a great beer. Drink one and you’re feeling good,HAPPY
So many disgusting Rhinos 😡,DISGUST
News Break!,SURPRISE
"LEFTISTS AND TRAITORS CHANGE TACK: LEAK HEAVILY EDITED TAPES, CALL FOR TRUMP'S IMPEACHMENT – WHAT DO THEY FEAR?",FEAR
BREAKING NEWS #electionintegrity,SURPRISE
so so sad,SAD
"A California resident finds the media’s lack of curiosity baffling when it comes to the seeming absence of treatment protocols for COVID patients. Why do we keep hearing about deaths but not about treatments? - By Andrea WidburgMy friend buried her husband today. He didn’t die from COVID, but he died all alone, a few days after Christmas.Here in the wasteland of fear that California has become if you enter a hospital, you may never be seen again. Nobody can visit. If you’re too unwell to have the strength to communicate via FaceTime or Zoom, you will miss any possible comfort from, or communication with, those who care about you in your last moments. The same is true for those in nursing homes who have suffered for so long.California is shut down tight, the populace barely clinging to sanity with many people practically too scared to breathe, much less interact with one another in a meaningful way. Masks are worn in cars, on bikes, walking around the neighborhood, as if they",FEAR
I LOVE this idea!,HAPPY
ITS TIME TO LITERALLY FIGHT !!,ANGRY
"As for the GOP establishment dwellers, they can pout, kick, scream, blame, and accuse all they want, but a party cannot be at war with its base indefinitely — not without consequences.",ANGRY
Women for America Firstis saddened by what has happened at the US Capitol this afternoon.We are not involved in the storming of the Capitol and do not condone any type of violence.We support law enforcement and encourage everyone to remain peaceful.,SAD
Totally staged!,DISGUST
This is what is being briefed on the Hill today re election fraud - for those of you who want to go to the source rather than get it second-hand.Congressional_Election_Fraud_Briefing_4JAN2021 v20Diseminationpptx,DISGUST
"When the former “blue lives matter” crowd turns and attacks cops, they still get treated 10x better than BLM protesters walking down the street",ANGRY
"The Huge Secret That Princess Diana KnewThis story will shock you, but you need to understand something: children rescued from the Illuminati over the past many decades often described their tormentors as Shape-Shifting Reptilian Extraterrestrials.Elizabeth and the father to Charles, Albert, William, and Harry - PINDAR - were SSRES also.",SURPRISE
And I betcha he has all the proof *rubs hands in anticipation for tomorrow *,HAPPY
Surprise,SURPRISE
He's NOT done fighting.,ANGRY
💀PENCE IS THE DEVIL 💀PENCE REFUSES TO REJECT ELECTORS AS PATRIOTS STORM CAPITOL BUILDING HOLD THE LINE MORE NOW THEN EVERPOSITIVE ACTIONS TO HELP NOT CRYING AND EMOTION PLEASE SHARE🐸WWG1WGA,DISGUST
Shoot this POS,DISGUST
Chuck Schumer is a slimeball.,DISGUST
Fight!!!,ANGRY
“Ones that are affraid of death are those affraid of the future that they see themselves in” - Dr.JLM PhD,FEAR
"In case anyone is wondering, I called the hotel I’m staying at and they ARE NOT canceling reservations. In fact, they said the mayor doesn’t have that power! The left is clearly launching a fear mongering strike against us. Call your own hotel to confirm- it only took a few minutes! DON’T FALL FOR IT! Before you share something take a few minutes to look into it! Otherwise you are working for them. 😒",FEAR
If she is a true Trump supporter this is disgusting.,DISGUST
#fightlikeaflynn,ANGRY
Poor baby. Needs his nappy changed.,SAD
Fencing being put up around the AZ CapitolWhy is anyone afraid of thousands of peaceful protesters?,FEAR
Now this makes me glad to be in PA,HAPPY
"Professional, successful, educated, bright mind , fresh start 2021❤️❤️🇺🇸🇺🇸🇺🇸🙏🙏🙏",HAPPY
Lemon turd,DISGUST
Fuck Doros and the DemonRats. This is war!,ANGRY
He is a coward,FEAR
That’s Antifa!,ANGRY
"This angle shows the woman shot inside the capitol building and dropping to the floor, sadly she has since succumb to her injuries and died.",SAD
Echo the shit out of this,DISGUST
Echo if you will never support any Republican or any candidate who betrayed president Donald J Trum,DISGUST
Love this vid,HAPPY
So sad! May her family find peace in our Savior Jesus and May God’s wrath destroy DC!!,SAD
Wooo hooo,HAPPY
Same shit all over again😡😡😡,DISGUST
Fight!,ANGRY
"Breaking News: National Guard, FBI Deployed to Capitol – See How They Reacted",SURPRISE
Words fail me,SAD
We are not ANTIFA or BLM. Those animals destroyed and killed. We lead by example even when it gets hard. My heart breaks that this is happening.,SAD
Kick some ass and take no prisoner!,ANGRY
"I am truly saddened and disappointed in what should have been on me of the greatest moments in this country. That is the people's house. All that needed to be done was to go in, sit down and stay. That is a peaceful protest, and THAT could have changed the world. #howcouldyouleave",SAD
I LOVE THIS! 👏👏👏👏👏,HAPPY
"Heartbreaking... today we are watching the destruction of America and with it, the end of the Republican Party. If you ever needed an example or a guidepost on how power corrupts, these times are that very example. I am thankful for those who are fighting and standing strong. My faith lies in the absolute truth that we know the end of our story - God wins.",SAD
"For nine weeks, Democrats have been afraid to have a real debate on election integrity. Why?",FEAR
[VIDEO] Trump Supporters Worry After Spotting Something Very Dangerous Sitting on DC Streets - WayneDupree.com,FEAR
I am afraid Pence is going to sell us out,FEAR
WOW!!!,SURPRISE
General Flynn surprise speech at Freedom Plaza… – CITIZEN FREE PRESS,SURPRISE
Even though they were antifa coward,FEAR
Sad but true. 😩😩,SAD
Hooray!!!!!,HAPPY
They are scared shitless that Trump is the most powerful man in the world for the next two weeks.,FEAR
BIG SURPRISE.,SURPRISE
Uma verdadeira façanha...,HAPPY
Good times,HAPPY
As ALWAYS ANTIFA. INFILTRATED,DISGUST
Wow all of a sudden my internet is posting it error.,SURPRISE
They talk out of both sides of their mouths. They pushed so hard for riots this summer in order to further agenda.#GARBAGE,ANGRY
Seems to me Pelosi knew Antifa was going to storm the building she seemed pretty nervous on the get go this morning. Wonder how much they were payed.Antifa is known for using fronts to riot and they certainly had a front here. Usually it's a BLM front then the riots.,FEAR
Wow.,SURPRISE
Thank you!🙏❤️🇺🇸,HAPPY
I love this,HAPPY
"This apparently is what happens when citizens are seemingly ignored and belittled. Sad, but not not surprising.",SAD
The fight begins it is go time.,ANGRY
This is terrifying!!,FEAR
Love this!,HAPPY
💥,HAPPY
Disgusting. #orchestratedchaos #orchestratedviolence #setuptopushthenarrative,DISGUST
Obama working with italy and EU leader Must listen. Mindblowing Intel,SURPRISE
"Sadly Ithink <a href=""/profile/linwood/posts"" class=""at"">@linwood</a> is right.Pence did not represent #wethepeople.#dcprotests #stopthesteal",SAD
The Violence of Antifa Meme,ANGRY
Triste verdade.,HAPPY
We are NOT going away !!#stopthesteal #stopthecoup #fightforamerica #fightfortrum,ANGRY
"My favorite end of the day today <a href=""/profile/RepMattGaetz/posts"" class=""at"">@RepMattGaetz</a> thank you for speaking for the people today and standing for our country and the truth 🙏🏼❤️🇺🇸",HAPPY
This is GREAT,HAPPY
Literally no one can watch this video and conclude this woman is telling the truth.This is INSANE. She's even more fake than Hillary Clinton! FAKE CUNT,DISGUST
Take back our Country!,ANGRY
"I’m glad they got in! I’m glad they took a stand! I’m glad they made themselves heard and known! They didn’t go with weapons, they aren’t burning or looting the place, good for them!!!",HAPPY
Breaking News,SURPRISE
I'm glad meeting all president Trump followers❤️🧡💚💞💞💕💙💜💜💝💘💗💗♥️,HAPPY
SAME BULLSHIT OVER AGAIN,DISGUST
What scum,DISGUST
🙌🙌🙌,HAPPY
Panic,FEAR
This is really sad to watch. Especially when you fee there is nothing you can do.,SAD
Brett Baier is sick,DISGUST
Despicable and gross display of Power.... he needs to be arrested immediately!!!,DISGUST
Echo the crap out of this,DISGUST
There are no words to describe.......,SAD
🙈🙉🙊,HAPPY
Who's going to be held accountable ? This is tragic,SAD
BREAKING: Patriots Are INSIDE NANCY PELOSI’S OFFICE — Emails Open on Screen,SURPRISE
So sad. But I've been telling you all for a week. I will expect the apology emails will be arriving soon?,SAD
Love ❤️ Jim Jordan! My favorite,HAPPY
RECORDING: Federal agents “coerce” USPS whistleblower Hopkins to water down story. Hopkins doubles down...Agent Strasser: “I am trying to twist you a little bit”“I am scaring you here”...” we have Senators involved...DOJ involved...reason they called me is to try to harness.”,FEAR
