,text,subjectivity,polarity
0,Love our President,OPINIONATED,POSITIVE
1,"Yes, same guy!!!!",NEUTRAL,
2,Thank God we Parler👍⚖️🇺🇸.I'm grateful for all of the wonderful people here💖,OPINIONATED,POSITIVE
3,"This would be the best case scenario, Wednesday the 6th of January 2021 would be almost equally good. Both strongly rooted in the constitution NOT a coup. Why anyone wouldn't want our election process to be secure and legitimate is beyond me. Pure ""win at any cost"" politics.",NEUTRAL,
4,Sharpton is as non-partisan as lions are vegetarians,NEUTRAL,
5,Events Leading Up To Todays Unrest In Washington D.C.,NEUTRAL,
6,The Photag has conveniently left out every identifiable sign.. lol,OPINIONATED,NEGATIVE
7,"Its not Antifa, we are trying to get into the Capitol Hill to apply pressure!! Echo and follow me for all the updates",NEUTRAL,
8,AMEN 🙏🏻,NEUTRAL,
9,Patriots had enuff!!!,NEUTRAL,
10,The message is “do your job or we’re coming for you”! 🇺🇸,NEUTRAL,
11,Bullets are soon to fly . Fly your flags upside down,NEUTRAL,
12,"I admire you tremendously! Smart, quick witted, and spot on about, well ALL OF IT! LOL! 🤣",OPINIONATED,POSITIVE
13,"Good! Until this rigged election, election fraud and ballot switching is remedied NO ONE in a disputed State should be sworn in. #commonsense #pennsylvania #democratsarecorrupt #riggedelection #italydidit #italydiditwithobamapayoff",NEUTRAL,
14,You hit the nsil on the head...I'm tired of hearing...we'll get them next time,OPINIONATED,NEGATIVE
15,Love it!,OPINIONATED,POSITIVE
16,Pray for Trump and his family.,NEUTRAL,
17,Hope the body count on both sides is extremely fucking high! Will help cull you assholes from society!,NEUTRAL,
18,MurderTheMedia on the ground!It's very difficult to get video streamed or uploaded right now,OPINIONATED,NEGATIVE
19,damn straight!,NEUTRAL,
20,THIS IS SO AMAZING I THINK I AM GOING TO BREAK DOWN AND CRY FROM JOY THAT WE WILL OVERCOME! GOD BLESS THE U.S.A.!,OPINIONATED,POSITIVE
21,Sick corrupted!,OPINIONATED,NEGATIVE
22,YOU ARE ABSOLUTELY RIGHT!!!,OPINIONATED,POSITIVE
23,Beautiful !!👏👏👏👏👏👏😂😂😂😂,OPINIONATED,POSITIVE
24,Lock and load Patriots!!!!!,NEUTRAL,
25,They needs to get a lot better formatt! Or they are going to loss all there business!! It is a terrible platform!!,OPINIONATED,NEGATIVE
26,WTH,NEUTRAL,
27,Up THEN down. Short drop with a fast stop.,NEUTRAL,
28,"WATCH: President Trump Releases Video Statement, Tells Protesters ‘Go Home in Peace’",NEUTRAL,
29,Failure To Contain Big Tech Is The Biggest Failure Of 2020 | ZeroHedge,OPINIONATED,NEGATIVE
30,That is a tremendous amount!,OPINIONATED,POSITIVE
31,BRILLIANT,OPINIONATED,POSITIVE
32,❤️ love this.,OPINIONATED,POSITIVE
33,Cruz man's the guns.Xxox,NEUTRAL,
34,Thank you for parlaying this inspiring video,OPINIONATED,POSITIVE
35,How much uglier can it possibly get?,OPINIONATED,NEGATIVE
36,I-495. To I-395,NEUTRAL,
37,Time for a new party and dump the RINO’s,OPINIONATED,NEGATIVE
38,Love this,OPINIONATED,POSITIVE
39,Thank you to each and everyone of you too !!,OPINIONATED,POSITIVE
40,Great news,OPINIONATED,POSITIVE
41,IS WISCONSIN ABOUT TO FLIP?!! @REALDONALDTRUMP PROMISES TO #FIGHTLIKEHELL AND #STOPTHESTEAL! #TRUMP HAS CONFIDENCE IN #PENCE. HERE IS THAT TO EXPECT ON JAN 6TH...#BCPTODAY,NEUTRAL,
42,THE BIG REVEAL THIS WAS HOW THEY DID IT!!! MAGA👊😠🇺🇲 K.A.G.,NEUTRAL,
