text,s_palak_label,s_ben_label
"“Repent for the worship of whiteness” what in the actual 🤬I am so angry right now, this is out of control!",OPINIONATED,NEUTRAL
Well Pence apparently DIDN’T do the right thing,OPINIONATED,OPINIONATED
You sir are correct.,OPINIONATED,OPINIONATED
He has my echo. Thank you Jesus.,OPINIONATED,OPINIONATED
I’m waiting for someone to do something. How much fucking evidence does it take to put one of these fucks in jail?,OPINIONATED,NEUTRAL
"May you always be healthy, happy and in love congratulations.",OPINIONATED,OPINIONATED
"The woman who was shot in the neck and killed inside the Capitol building on Wednesday afternoon has been identified as Ashli Babbitt, a 14-year veteran who served four tours with the U.S. Airforce.",NEUTRAL,NEUTRAL
#theworldiswatching,NEUTRAL,NEUTRAL
good entry level awakening watch👇,OPINIONATED,OPINIONATED
The fact that the crowd dispersed already almost proves that the disruption inside was primarily Antifa and Trumpers were peaceful for the most part ! But the news will portray a whole other story! #womenfortrump #fightforamerica,NEUTRAL,NEUTRAL
♥️ fight for America 🇺🇸,NEUTRAL,NEUTRAL
We’re Going In – A Sign of Hope,OPINIONATED,OPINIONATED
Mel K and Rob Really Daily News Meetup 1-5-2021,NEUTRAL,NEUTRAL
Today feels like a bad hangover,OPINIONATED,OPINIONATED
Warnock outperforming Biden in Fulton Country by almost 3 points.,NEUTRAL,NEUTRAL
Good job,OPINIONATED,OPINIONATED
"MSM and social media need to understand what is happening is because when we tried to use our voice, we continually have been shut down!!! This mess lays at the feet of all of the MSM and Democrats, Republicans, ANTIFA and BLM. Oh yeah, let’s not forget Hide. Biden and his ridiculous party! You wouldn’t listen. Did not care that the election was rigged. Hell, all elections are rigged. This one...just so much worse. 🔥🤬🔥🤬🔥",OPINIONATED,OPINIONATED
THIS IS WHAT MAKE ALL SPECIAL ! THIS IS OUR VICTORY 🇺🇸🇺🇸🇺🇸💖,OPINIONATED,OPINIONATED
SOME IDIOT IS SPREADING LIES ON PARLER AND SAYING IT WAS A 16 YEAR OLD GIRL WHO DIED. YOU ARE AN IDIOT!! STOP LYING!,OPINIONATED,NEUTRAL
So proud of our Patriots.,OPINIONATED,OPINIONATED
"Today is important, but today won't decide who's the next president, because Trump will surely be our president until 2025(maybe 2029) no matter what happens.What will be decided?Today will only decide who will be primaried out in the future.May God bless you all.",NEUTRAL,OPINIONATED
Burn it all down especially the mayor’s house!!!!,OPINIONATED,NEUTRAL
"Today, I made my voice heard by switching political parties. I’m now register Libertarian. The other choice was Green Party or Independent but I want to make a political statement. I explain further down. I also closed my Twitter account because the actions they take to silence the conservatives on their platform is unacceptable. I also stopped watch FoxNews and unfollowed their social media. Why is this important? 1.) Political parties relay on the number of registered voters under their party platform. Its mostly has to do with money and corporate sponsorship. 2.) Twitter having an account that censors people then you are simply supporting the way they make money. 3.) Media watching, following or commenting that doesn’t report things fairly and you know about it then all you are doing is filling their pockets with money. What’s the theme?MONEY!!! How you hurt them? Stop supporting them and their money and ultimately their power will go away.",NEUTRAL,OPINIONATED
CA Protesters Take To Streets Amid Election Chaos: Live Updates | Patch,NEUTRAL,OPINIONATED
"I think his message is wearing thin. Particularly after today. <a href=""/profile/carpedonktum/posts"" class=""at"">@carpedonktum</a",OPINIONATED,OPINIONATED
Everybody take an deep breath.Everything will work out.,OPINIONATED,OPINIONATED
Thank you for your support! Hundreds of thousands of people have shown up to say they will not stand for a Rigged and Corrupt Election! History will remember the PATRIOTS!,OPINIONATED,OPINIONATED
Absolute classic!!,OPINIONATED,OPINIONATED
INCREDIBLE!!!! ECHO - ECHO - ECHO. PLEASE listen to this audio testimony. It is LONG but PACKED with information thatMUST be made public. Once this gets out it should change everything. There will be NO ONE on the fence after this information explodes.,NEUTRAL,NEUTRAL
"Sidney Powell , is a bad a$$ .. 🇺🇸",OPINIONATED,OPINIONATED
"Kappy knew President Trump would handle it, but the info never reached the President.",OPINIONATED,OPINIONATED
They clearly didn't grasp the depths of their oath. Or they just don't give a damn.,OPINIONATED,OPINIONATED
"Absolutely the worst in my lifetime, and I remember Nixon.",OPINIONATED,OPINIONATED
What a coward!!! She deserved to lose.,OPINIONATED,OPINIONATED
"I think this is Clay Clark? ""The Covid-19 PCR tests are fake ... the models were fake"" #StopTheSteal",OPINIONATED,OPINIONATED
Important to share,OPINIONATED,OPINIONATED
Damn right.,OPINIONATED,OPINIONATED
Link Doesn't work,OPINIONATED,OPINIONATED
Yes it does,OPINIONATED,OPINIONATED
Outstanding! Storm the castle!,OPINIONATED,OPINIONATED
THANK YOU!,OPINIONATED,OPINIONATED
That’s funny!,OPINIONATED,OPINIONATED
CNN Tries To Call Out FL Gov. DeSantis. It Doesn't Go Well For Them👇🏻👇🏻,OPINIONATED,NEUTRAL
Hero is an over used and fucked up word.,OPINIONATED,OPINIONATED
Exactly. And nobody says anything about all these Judges fcked up rulings.That's why this country is ruined.,OPINIONATED,OPINIONATED
"Really? If True, This is <a href=""/profile/MAGA/posts"" class=""at"">@MAGA</a> Great News.. Rep. JONES, Congressman, now a Former Democrat announced todayHe's leaving Democrat Party to bea <a href=""/profile/ProudTrumplican/posts"" class=""at"">@ProudTrumplican</a> ""Republican"" <a href=""/profile/realMAGApatriot/posts"" class=""at"">@realMAGApatriot</a> Supporter.",NEUTRAL,NEUTRAL
"Ayep, sounds about right.",OPINIONATED,OPINIONATED
I pray trump enacts his EO sooner than later !!!,NEUTRAL,NEUTRAL
There are a lot of frustrated people. I would guess there are more people in this country that feel like the leadership in this country 'doesn't care' about the people they say they represent.,OPINIONATED,OPINIONATED
There you have it,OPINIONATED,OPINIONATED
Abrams - HUGE conflict of interest..Warnock is racist..Ossoff is senate equivalent of AOC - STUPID!!,OPINIONATED,OPINIONATED
Damn right it is bogus!Burn the murder mask!!,OPINIONATED,OPINIONATED
The NOT SO friendly skies #recallmittromney,OPINIONATED,OPINIONATED
"That's so true Now get President Trump on Parler, we loveHim and his adorable family",OPINIONATED,OPINIONATED
Save our country! A great message from my good friend Jon Voight!,OPINIONATED,OPINIONATED
