text,s_palak_label,s_ben_label,p_palak_label,p_ben_label
This is pretty funny,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Not happening!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Glorious,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Great sentiment, but with the Democrats stealing the elections all that will be meaningless. The republic is dead.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
We are losing our country day by day.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
It seems I am being censored by parler.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I am ready here. Bring it,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I LOVE this idea!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
BIDEN LAPTOP EXPOSED!! RUDY G. has all the evidence.... Gross ... SO GROSS!Thousands of pics. Dozens of videos like this ...😰,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I love trump.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Cheats,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"PROUD BOYS FOREVER !!! STAY SAFE, GOD BLESS YOU",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Totally amazing. WOW!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I am grateful for this patriot....the greatest president to date in US history🇺🇸🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"PARLER IS BROKEN ""no post could be found""",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is fantastic.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
WOW! I have no words! Thank you so much Roger Stone! I’ve believed in you from day one. I love you and your family. God bless!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
True American Patriot.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"If the machines were not supported to be online, why was there digital transfer all night in both directions? Why was the count digital only? We’re the ballots already shredded? What was going on? Why were the poll watchers only given a court order at 11pm? What happened the house and day prior???? Anyone????",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Our Patriot was right all along! 🙏🏻🙏🏻🙏🏻for Lin🙏🏻🙏🏻🙏🏻,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
interesting tat,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
My #parler has completely stopped working... anyone else have this problem?,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
TRUMP LIVE 2020 USA FOREVER,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
"I love America!! Come together, right now!!!!",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Is this true,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"As the end of his presidency edges closer, President Trump appears to have lost all contact with reality. It's sad to witness. I never thought I would say this, but January 20th can't come soon enough.",OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
WOW!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Absolutely Brilliant,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
They are VERY FAKE NEWS and a total DISGRACE TO OUR COUNTRY!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Ga. SOS Raffensperger gives bad info. to POTUS #OANN,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
MATT IS A TRUE AMERICAN PATRIOT!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Scum of the earth.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
You are very welcome it is very inspiring.... Allen West is the real deal!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Make it make sense. 😂,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
NEVER FORGET!!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Worth the time,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Echo the best video of the day !! Please , Please Echo share email ect Get this so the whole world will see what is really happening .Thank you all hard working Patriots .......God Bless 🙏",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
We love you Desantis!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I'm on board,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you Georgia,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
The Crowd is Huge & growing,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
A great video and it gets ya going,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"RIGGED: Michigan print shop created fake ballots for Pennsylvania, other swing states – NaturalNews.com",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Be bold make history!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Two most important things Wisconsin Governor Tony Evers should have done since last March: 1) get ready to get vaccine out as quickly as possible; and 2) process unemployment claims as quickly as possible (for people who overwhelmingly are unemployed because of the actions of government). ✖️He failed miserably on both.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Donald Trump's Most Powerful Speech Ever On Never Giving Up:,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Absolutely right !,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"I admire you tremendously! Smart, quick witted, and spot on about, well ALL OF IT! LOL! 🤣",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
May God bless everyone of them for standing there to represent the rest of us. I am overcome by their strength of character.,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"Their stealing another election. Losing a 100,000 vote lead and 60,000 vote lead!!!! Not likely. WTF!!!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Beautiful 🙏🇺🇸🙏,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This makes me so happy,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
DEFENSE SECRETARY WARNS PRESIDENT TRUMP OF A COUP!!!!TRUMPS RESPONSE......I WILL NEVER CONCEDE!!!!!!!I LOVE IT!!! WE LOVE IT!!!WE WILL FIGHT FOR OUR FREEDOM. PRAY FOR US PATRIOTS! WE LOVE YOU!!!GOD IS AT THE WHEEL!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"I think many states should ask for their money back from their purchases of Dominion Voting Machines. If they have a 68% failure rate and that many ballots have to be hand adjudicated, why pay millions for machines with such a high failure rate?",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is becoming a disaster. Trump better pull out his last hoo-rah quickly,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
ANOTHER promise made and KEPT!! Thank you so much Mr. President!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Oh I'm sure!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"a href=""/profile/HughHewitt/posts"" class=""at"">@HughHewitt</a> You maybe a lot of things but never knew deaf dumb and blind were part of your weaknesses? I am exactly your age and remember the past as u put it. What if 75 million Trumpers stop voting? Clean what up in 4 years? Won’t be anything to clean up! I’m done voting and have all my life! Done! And done listening to pundits! U are lost!",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
The media let this happen. Enjoy the ride.,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
"Actually, I think his balls have already been cut off.",OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
WE WILL REMEMBER YOU!!!!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Best happy ending ever..!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Chris Wallace shut up. 🤮,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
BREAKING NEWS:That’s not what he said when he testified. Changing the story much???,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
The last video I posted was banned from Youtube and deleted so here's a version uploaded directly from my hard drive - 'The Plot To Steal America' -,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
WE LOVE THIS MAN !😍😍😍,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"I wonder when the GA election officials told the SHRED IT truck to come in the morning?Face it people .... the DemocRATs stole this one like they stole the rest!We never had a chance. As proof, they even put Ruby and her “baby” to work the polls and count the votes AGAIN! Anyone need more than that?",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
I absolutely agree!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"On this Sunday, a week before Christmas, I wanted to share with all of you how thankful I am that we have found a new church that is not afraid to meet in person and worship our Lord and Savior Jesus Christ.",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Okay I can’t help it!! President dancing after the rally in GA!! I LOVED it!! The man is an inspiration!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
FraudInhofe is left,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is awesome!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
President Trump is the best,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
As he tells her he was not voted in to work for his constituents. “That’s not how the constitution works” - Mitt RomneyWhat a worthless piece of crap!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Forever!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Stand and fight for truth!! Good going, Pa Repubs.",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
